tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-life-stage,animal-reproductive-condition,animal-sex,attachment-type,deploy-off-person,deploy-on-person,deployment-end-type,deployment-id,duty-cycle,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
14_2,B[6.E],Falco naumanni,2011-06-15 00:00:01.000,2011-06-16 09:00:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20110616_14_2,5 min,none,EBD,Technosmart,1.8,GiPSy-2,tag-retrieval
14,V[0AF],Falco naumanni,2011-06-15 10:00:00.000,2011-06-15 12:00:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20110616_14,1 sec,none,EBD,Technosmart,1.8,GiPSy-2,tag-retrieval
16,V[0AF],Falco naumanni,2011-06-17 08:00:00.000,2011-06-17 16:00:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20110620_16,10 min,none,EBD,Technosmart,1.8,GiPSy-2,tag-retrieval
22,B[6.E],Falco naumanni,2011-06-17 19:01:00.000,2011-06-20 08:59:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20110620_22,5 min,none,EBD,Technosmart,1.8,GiPSy-2,tag-retrieval
20,B[6.E],Falco naumanni,2011-06-20 11:00:00.000,2011-06-20 14:35:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20110622_20,1 sec,none,EBD,Technosmart,1.8,GiPSy-2,tag-retrieval
20,V[0AF],Falco naumanni,2011-06-21 13:30:00.000,2011-06-24 11:20:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20110624_20,5 min,none,EBD,Technosmart,1.8,GiPSy-2,tag-retrieval
22,B[6.E],Falco naumanni,2011-06-23 05:00:00.000,2011-06-23 15:30:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20110624_22,10 min,none,EBD,Technosmart,1.8,GiPSy-2,tag-retrieval
24,V[9F2],Falco naumanni,2011-06-25 11:45:00.000,2011-07-01 12:00:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20110630_24,5 min,none,EBD,Technosmart,1.8,GiPSy-2,tag-retrieval
446,B[D.P],Falco naumanni,2012-04-09 16:14:58.000,2012-04-16 21:25:03.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120416_446,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
453,B[A.B],Falco naumanni,2012-04-09 17:59:04.000,2012-04-22 21:49:38.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120422_453,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
454,B[D.D],Falco naumanni,2012-04-09 19:31:23.000,2012-04-16 21:46:49.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120416_454,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
449,B[D.N],Falco naumanni,2012-04-10 16:10:52.000,2012-04-22 20:01:48.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120422_449,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
442,B[6.3],Falco naumanni,2012-04-10 23:33:07.000,2012-04-16 21:37:33.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120416_442,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
455,B[D.P],Falco naumanni,2012-04-16 19:47:58.000,2012-04-22 21:16:25.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120422_455,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
458,B[8.S],Falco naumanni,2012-04-16 19:57:41.000,2012-04-30 07:33:45.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120430_458,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
457,B[6.3],Falco naumanni,2012-04-16 20:03:58.000,2012-05-02 18:44:38.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120502_457,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
445,B[7.R],Falco naumanni,2012-04-16 20:39:04.000,2012-04-22 21:38:43.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120422_445,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
443,B[D.D],Falco naumanni,2012-04-17 19:45:05.000,2012-04-22 22:13:42.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120422_443,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
448,B[D.P],Falco naumanni,2012-04-22 19:42:58.000,2012-05-02 15:45:05.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120502_448,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
450,B[D.A],Falco naumanni,2012-04-22 20:00:00.000,2012-06-18 09:19:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120618_450,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
451,B[7.M],Falco naumanni,2012-04-23 14:27:34.000,2012-06-05 08:30:21.999,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120605_451,1 sec,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
454,B[D.N],Falco naumanni,2012-04-23 17:53:04.000,2012-04-30 08:17:27.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120430_454,1 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
459,B[D.M],Falco naumanni,2012-04-23 19:22:34.000,2012-05-30 11:21:14.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120530_459,1 sec,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
442,B[A.B],Falco naumanni,2012-04-23 19:45:28.000,2012-04-25 16:32:56.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120425_442,1 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
452,B[D.D],Falco naumanni,2012-04-23 20:09:04.000,2012-04-30 09:56:28.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120430_452,1 sec,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
449,B[A.B],Falco naumanni,2012-04-26 18:58:04.000,2012-05-02 17:58:35.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120502_449,1 sec,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
455,B[8.S],Falco naumanni,2012-04-30 07:33:46.000,2012-05-14 14:44:15.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120514_455,1 sec,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
453,B[D.N],Falco naumanni,2012-04-30 08:31:58.000,2012-05-07 18:11:36.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120507_453,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
460,B[D.D],Falco naumanni,2012-05-01 07:50:52.000,2012-05-30 12:49:31.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120530_460,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
442,B[6.3],Falco naumanni,2012-05-02 16:34:52.000,2012-05-07 16:58:06.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120507_442,1 sec,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
456,B[D.R],Falco naumanni,2012-05-02 17:47:34.000,2012-05-30 12:12:54.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120530_456,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
445,B[D.P],Falco naumanni,2012-05-02 19:33:04.000,2012-06-05 16:41:42.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120605_445,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
446,B[A.B],Falco naumanni,2012-05-03 15:51:34.000,2012-05-30 13:01:10.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120530_446,1 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
461,B[6.V],Falco naumanni,2012-05-03 18:28:28.000,2012-06-13 11:40:27.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120613_461,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
10,B[6.3],Falco naumanni,2012-05-07 07:22:05.000,2012-06-13 10:39:15.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120613_10,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
452,B[D.T],Falco naumanni,2012-05-07 09:43:04.000,2012-05-14 16:23:34.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120514_452,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
443,B[D.N],Falco naumanni,2012-05-08 07:43:04.000,2012-05-14 16:31:15.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120514_443,1 sec,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
458,B[8.S],Falco naumanni,2012-05-14 14:44:16.000,2012-06-05 15:09:23.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120605_458,1 sec,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
448,B[D.T],Falco naumanni,2012-05-14 14:47:34.000,2012-05-30 11:08:48.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120530_448,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
457,B[6.X],Falco naumanni,2012-05-15 15:38:04.000,2012-05-30 11:57:18.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120530_457,1 sec,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
454,B[D.N],Falco naumanni,2012-05-15 19:26:27.000,2012-05-30 04:30:32.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120530_454,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
442,B[D.R],Falco naumanni,2012-05-30 10:09:34.000,2012-07-04 10:54:32.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120704_442,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
454,B[A.B],Falco naumanni,2012-05-30 11:27:05.000,2012-07-04 04:30:32.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120704_454,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
455,B[D.M],Falco naumanni,2012-05-31 09:23:34.000,2012-07-02 12:15:19.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120702_455,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
453,B[D.N],Falco naumanni,2012-05-31 09:35:22.000,2012-07-04 04:30:32.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120704_453,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
443,B[D.B],Falco naumanni,2012-05-31 10:24:58.000,2012-07-05 10:15:54.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120704_443,1 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
456,B[7.M],Falco naumanni,2012-06-05 15:21:04.000,2012-07-11 11:53:45.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120711_456,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
446,B[5.H],Falco naumanni,2012-06-06 14:20:07.000,2012-07-02 14:11:54.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120702_446,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
460,B[D.P],Falco naumanni,2012-06-06 15:05:51.000,2012-07-02 14:07:02.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120702_460,1 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
457,B[8.S],Falco naumanni,2012-06-06 15:11:04.000,2012-07-02 11:51:48.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120702_457,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
448,B[7.T],Falco naumanni,2012-06-06 15:45:05.000,2012-06-24 18:01:05.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120624_448,1 sec,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
445,B[9.Z],Falco naumanni,2012-06-13 08:49:22.000,2012-07-02 15:35:37.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120702_445,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
451,B[6.3],Falco naumanni,2012-06-14 08:30:22.000,2012-06-24 00:00:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120624_451,1 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
10,B[6.V],Falco naumanni,2012-06-14 09:33:04.000,2012-07-04 12:53:42.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120704_10,1 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
450,B[D.H],Falco naumanni,2012-06-24 16:05:35.000,2012-07-02 10:58:05.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120702_450,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
461,B[7.T],Falco naumanni,2012-06-25 15:50:34.000,2012-07-02 04:30:50.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120702_461,1 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
448,B[6.3],Falco naumanni,2012-06-25 17:11:58.000,2012-07-04 04:30:00.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120704_448,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
445,B[9.Z],Falco naumanni,2012-07-02 15:59:40.000,2012-07-11 11:58:57.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120711_445,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
451,B[D.H],Falco naumanni,2012-07-03 08:50:22.000,2012-07-04 13:05:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120704_451,1 sec,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
450,B[8.S],Falco naumanni,2012-07-03 09:45:34.000,2012-07-11 12:23:39.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120711_450,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
461,B[7.T],Falco naumanni,2012-07-03 11:04:35.000,2013-03-08 00:00:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130308_461,1 sec,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
446,B[D.P],Falco naumanni,2012-07-03 12:04:28.000,2012-07-04 10:05:58.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120704_446,1 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
442,B[D.H],Falco naumanni,2012-07-04 11:40:34.000,2012-07-11 14:16:14.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120711_442,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
10,B[6.V],Falco naumanni,2012-07-04 13:29:52.000,2012-07-11 11:38:56.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120711_10,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
458,B[6.3],Falco naumanni,2012-07-05 09:33:58.000,2012-07-11 11:24:54.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120711_458,1 sec,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
446,B[D.N],Falco naumanni,2012-07-05 10:05:58.000,2012-07-15 15:22:49.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120715_446,1 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
453,B[A.B],Falco naumanni,2012-07-05 10:28:34.000,2012-07-11 00:00:01.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120711_453,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
454,B[D.R],Falco naumanni,2012-07-05 10:47:04.000,2012-07-11 11:54:07.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120711_454,1 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
443,B[D.B],Falco naumanni,2012-07-05 12:00:04.000,2012-07-11 14:18:16.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20120711_443,1 sec,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
445,B[D.A],Falco naumanni,2013-04-02 14:30:52.000,2013-04-09 18:57:54.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130409_445,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
446,B[D.P],Falco naumanni,2013-04-08 09:01:34.000,2013-04-14 19:35:51.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130414_446,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
443,B[D.A],Falco naumanni,2013-04-10 13:00:22.000,2013-04-14 20:04:35.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130414_443,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
442,B[A.B],Falco naumanni,2013-04-10 13:11:34.000,2013-04-22 21:00:18.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130422_442,1 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
